07:34:05:883 [ALWAYS]	GUDE Logging Started
07:34:05:884 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:34:05:884 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:34:05:884 [ERROR]	Initialize resume cache pointer failure
07:34:05:884 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
07:34:05:884 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
07:34:12:071 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
07:34:12:072 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:34:12:072 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:34:12:072 [ERROR]	Initialize resume cache pointer failure
07:34:12:072 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
07:34:12:072 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
